incident_id,date,time,region,railway_branch,incident_type,severity,duration_minutes,affected_trains,resolved,cause,description
INC-2024-0001,2024-01-05,08:35,Москва,Курское направление,Техническая неисправность,Средняя,45,12,Да,Отказ сигнализации,Сбой светофорной автоматики на участке Курская-Подольск
INC-2024-0002,2024-01-08,14:22,Урал,Свердловская ж/д,Погодные условия,Высокая,120,28,Да,Снегопад,Затруднение движения из-за обильного снегопада
INC-2024-0003,2024-01-12,06:15,Сибирь,Западно-Сибирская ж/д,Техническая неисправность,Низкая,25,5,Да,Износ рельсов,Временное ограничение скорости на участке
INC-2024-0004,2024-01-15,19:48,Санкт-Петербург,Октябрьская ж/д,Инцидент с пассажирами,Средняя,35,8,Да,Экстренная остановка,Стоп-кран сработал в вагоне
INC-2024-0005,2024-01-20,11:30,Дальний Восток,Дальневосточная ж/д,Погодные условия,Критическая,240,45,Да,Наводнение,Подтопление путей на участке
INC-2024-0006,2024-01-25,09:10,Москва,Ярославское направление,Техническая неисправность,Низкая,20,3,Да,Поломка стрелки,Ремонт стрелочного перевода
INC-2024-0007,2024-02-02,16:45,Урал,Южно-Уральская ж/д,Погодные условия,Средняя,75,18,Да,Гололед,Обледенение контактной сети
INC-2024-0008,2024-02-08,07:20,Сибирь,Красноярская ж/д,Техническая неисправность,Средняя,55,14,Да,Отказ локомотива,Поломка тягового оборудования
INC-2024-0009,2024-02-14,21:05,Москва,Рязанское направление,Инцидент с грузом,Высокая,95,22,Да,Смещение груза,Остановка грузового состава
INC-2024-0010,2024-02-18,12:40,Санкт-Петербург,Октябрьская ж/д,Техническая неисправность,Низкая,30,6,Да,Отказ дверей,Неисправность дверей в электричке
INC-2024-0011,2024-02-25,08:00,Дальний Восток,Забайкальская ж/д,Погодные условия,Высокая,150,32,Да,Метель,Ограничение видимости на перегоне
INC-2024-0012,2024-03-03,15:25,Урал,Свердловская ж/д,Техническая неисправность,Средняя,40,9,Да,Отказ тормозов,Проверка тормозной системы
INC-2024-0013,2024-03-10,10:15,Москва,Киевское направление,Инцидент с пассажирами,Низкая,15,2,Да,Медицинская помощь,Вызов врача к пассажиру
INC-2024-0014,2024-03-15,18:30,Сибирь,Восточно-Сибирская ж/д,Погодные условия,Критическая,180,52,Да,Землетрясение,Проверка инфраструктуры после землетрясения
INC-2024-0015,2024-03-22,06:50,Санкт-Петербург,Октябрьская ж/д,Техническая неисправность,Средняя,60,15,Да,Обрыв провода,Ремонт контактной сети
INC-2024-0016,2024-04-01,13:20,Москва,Нижегородское направление,Инцидент с грузом,Средняя,50,11,Да,Повреждение контейнера,Перегрузка поврежденного контейнера
INC-2024-0017,2024-04-08,09:45,Дальний Восток,Дальневосточная ж/д,Техническая неисправность,Высокая,85,20,Да,Отказ СЦБ,Сбой системы централизации
INC-2024-0018,2024-04-15,17:10,Урал,Горьковская ж/д,Погодные условия,Средняя,65,16,Да,Ураганный ветер,Проверка мостовых сооружений
INC-2024-0019,2024-04-22,11:55,Сибирь,Западно-Сибирская ж/д,Инцидент с пассажирами,Низкая,20,4,Да,Задержка посадки,Большой пассажиропоток на станции
INC-2024-0020,2024-04-28,08:30,Москва,Павелецкое направление,Техническая неисправность,Средняя,45,10,Да,Неисправность пути,Просадка рельсового полотна
INC-2024-0021,2024-05-05,14:00,Санкт-Петербург,Витебское направление,Инцидент с грузом,Высокая,100,25,Да,Утечка топлива,Ликвидация последствий утечки
INC-2024-0022,2024-05-12,07:15,Дальний Восток,Сахалинская ж/д,Погодные условия,Средняя,70,17,Да,Туман,Снижение скорости из-за плохой видимости
INC-2024-0023,2024-05-18,16:40,Урал,Свердловская ж/д,Техническая неисправность,Низкая,25,5,Да,Отказ кондиционера,Замена вагона в составе
INC-2024-0024,2024-05-25,12:20,Москва,Белорусское направление,Инцидент с пассажирами,Средняя,35,8,Да,Хулиганство,Эвакуация нарушителя из поезда
INC-2024-0025,2024-06-01,09:50,Сибирь,Красноярская ж/д,Погодные условия,Высокая,110,28,Да,Лесной пожар,Ограничение движения из-за задымления
